PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.2906843721866608 1.085100889205933 0.8096600174903870 0.7817933529615402 1.015647480125521
1998 0.7726670503616333 1.334988355636597 0.9010924696922302 0.9781474471092224 1.015647480125521
1999 0.7533743977546692 1.430151343345642 0.9209589362144470 0.9777895212173462 1.015647480125521
2000 0.6576793789863586 1.799091577529907 0.9846545159816742 1.041170775890350 1.015647480125521
2001 0.7121053934097290 1.777184247970581 0.8971995115280151 0.9874980499347051 1.015647480125521
2002 0.5587360858917236 1.537829995155335 1.040753424167633 1.051262905200322 1.015647480125521
2003 0.6705833673477173 1.631986498832703 1.002580583095551 1.101184085011482 1.015647480125521
2004 0.6011031270027161 1.729683041572571 0.9733408987522125 1.027822082241376 1.015647480125521
2005 0.6797581911087036 1.553451657295227 0.8857650458812714 1.003069669008255 1.015647480125521
2006 0.7839513421058655 1.466428518295288 0.9773638546466827 1.036691611011823 1.015647480125521
2007 0.6431561112403870 1.700447082519531 1.072117388248444 1.082978223760923 1.015647480125521
2008 0.8023741841316223 1.873386025428772 0.9847874641418457 1.075126498937607 1.015647480125521
2009 0.7117294669151306 1.580532670021057 0.9884600341320038 1.061193073789279 1.015647480125521
2010 0.6244579553604126 1.537804484367371 0.9592157900333405 0.9900189389785131 1.015647480125521
2011 0.6715555787086487 1.703657627105713 0.9960973560810089 1.045485183596611 1.015647480125521
2012 0.6272274851799011 1.340960025787354 0.9983232915401459 0.9811030129591624 1.015647480125521
2013 0.8375211954116821 1.356815695762634 1.028912425041199 1.043672730525335 1.015647480125521
