PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.4128923714160919 0.6625395417213440 0.4751767367124558 0.4952030420303345 0.6904157250535254
1998 0.4928940236568451 0.7855734825134277 0.6075015962123871 0.6321373408039411 0.6904157250535254
1999 0.4779031276702881 0.6304488778114319 0.5481046736240387 0.5436207180221876 0.6904157250535254
2000 0.4485153555870056 0.6313108205795288 0.5161199569702148 0.5235968306660652 0.6904157250535254
2001 0.5311061739921570 0.6753084659576416 0.5949617922306061 0.6083178768555323 0.6904157250535254
2002 0.5493042469024658 0.8293050527572632 0.7009147405624390 0.7130535890658697 0.6904157250535254
2003 0.6697291135787964 0.8545387983322144 0.7824345529079437 0.7765310108661652 0.6904157250535254
2004 0.6775317192077637 0.8861778974533081 0.7412362992763519 0.7492808004220327 0.6904157250535254
2005 0.6710191369056702 0.9272764325141907 0.7936056256294251 0.7929428815841675 0.6904157250535254
2006 0.6182237267494202 0.7763360738754273 0.7458317577838898 0.7172293066978455 0.6904157250535254
2007 0.6736126542091370 0.8767941594123840 0.7630577385425568 0.7549103647470474 0.6904157250535254
2008 0.7084211707115173 0.9776213169097900 0.7799830436706543 0.8041555583477020 0.6904157250535254
2009 0.6651468276977539 0.9214761853218079 0.7654083967208862 0.7681210736433665 0.6904157250535254
2010 0.6965303421020508 0.9480366706848145 0.8672100305557251 0.8396637042363485 0.6904157250535254
2011 0.6314069628715515 0.9151822924613953 0.7862004041671753 0.7696529775857925 0.6904157250535254
2012 0.4971165359020233 0.7430663704872131 0.6170889735221863 0.6115761970480284 0.6904157250535254
2013 0.5466306209564209 0.7361584901809692 0.6317061781883240 0.6370740532875061 0.6904157250535254
