PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.4879968166351318 1.284404754638672 0.9946911931037903 0.9789972570207384 1.427163705034973
1998 0.8346785902976990 2.352146625518799 1.073085546493530 1.259033183256785 1.427163705034973
1999 0.8997980356216431 2.597246408462524 1.286865949630737 1.388596226771673 1.427163705034973
2000 0.9016453027725220 2.454450368881226 1.429290115833283 1.485842188199361 1.427163705034973
2001 0.7606725692749023 1.893431305885315 1.234181225299835 1.253908365964890 1.427163705034973
2002 0.6655827164649963 2.469202518463135 1.553080260753632 1.464437226454417 1.427163705034973
2003 0.5738525986671448 2.248245954513550 1.505579650402069 1.373719856142998 1.427163705034973
2004 0.6711089611053467 2.324932813644409 1.304422795772553 1.348435804247856 1.427163705034973
2005 0.7631664872169495 1.953289031982422 1.390553355216980 1.385067497690519 1.427163705034973
2006 1.049452543258667 2.853322982788086 1.707760572433472 1.702324062585831 1.427163705034973
2007 0.7613832354545593 2.981551170349121 1.586817562580109 1.567626799146334 1.427163705034973
2008 0.8375925421714783 2.326534032821655 1.671887993812561 1.582045520345370 1.427163705034973
2009 0.8152894973754883 2.430532455444336 1.656512439250946 1.570252845684687 1.427163705034973
2010 0.8617638945579529 2.126144409179688 1.435401797294617 1.433774441480637 1.427163705034973
2011 0.9153960943222046 2.527094364166260 1.526674747467041 1.563838988542557 1.427163705034973
2012 0.8548218011856079 2.341087102890015 1.420677781105042 1.469642857710521 1.427163705034973
2013 1.024727225303650 2.531887769699097 1.260519385337830 1.434239864349365 1.427163705034973
