PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.2324977815151215 0.8544232845306397 0.5601586401462555 0.5595924357573191 0.5685275098175006
1998 0.2626412808895111 1.339491367340088 0.7079864442348480 0.7533509768545628 0.5685275098175006
1999 0.3163284957408905 1.131786465644836 0.8604807257652283 0.8101107068359852 0.5685275098175006
2000 0.2409374117851257 0.9827909469604492 0.7740934491157532 0.6682802670531802 0.5685275098175006
2001 0.2984417080879211 0.8101308345794678 0.6967085897922516 0.6371591836214066 0.5685275098175006
2002 0.2786860764026642 0.8237480521202087 0.5726976692676544 0.5728737823665142 0.5685275098175006
2003 0.1799700260162354 0.7855307459831238 0.4307260960340500 0.4695698618888855 0.5685275098175006
2004 0.2194891273975372 0.7283300161361694 0.5638099908828735 0.5233867764472961 0.5685275098175006
2005 0.2167749255895615 0.6777218580245972 0.3995245844125748 0.4435022938996553 0.5685275098175006
2006 0.2388660609722138 0.7286778092384338 0.5550802350044251 0.5322155952453613 0.5685275098175006
2007 0.2344461083412170 0.7306678891181946 0.4951090067625046 0.4840675815939903 0.5685275098175006
2008 0.2092325389385223 0.8375309109687805 0.5455467104911804 0.5575930699706078 0.5685275098175006
2009 0.2090766131877899 0.7600558400154114 0.5411671400070190 0.5221177041530609 0.5685275098175006
2010 0.1859663128852844 0.7514799237251282 0.5843173861503601 0.5325111374258995 0.5685275098175006
2011 0.1608209460973740 0.8448952436447144 0.5671281218528748 0.5403041634708643 0.5685275098175006
2012 0.2118400037288666 0.7806174159049988 0.6663100421428680 0.5697684809565544 0.5685275098175006
2013 0.2990417182445526 0.7756336331367493 0.4397896230220795 0.4885636493563652 0.5685275098175006
