PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.1818335354328156 0.3259567022323608 0.2614938691258431 0.2595925718545914 0.3881474848179257
1998 0.2283470779657364 0.5260466933250427 0.3264576792716980 0.3320873640477657 0.3881474848179257
1999 0.2534422576427460 0.4032690227031708 0.2992583364248276 0.3062370046973229 0.3881474848179257
2000 0.2386527508497238 0.4795711040496826 0.3248637765645981 0.3363488925000032 0.3881474848179257
2001 0.2221196442842484 0.3630619943141937 0.3104861974716187 0.3013626746833324 0.3881474848179257
2002 0.2441418021917343 0.6255508661270142 0.4264302402734757 0.4040308433274428 0.3881474848179257
2003 0.3149887919425964 0.5088258385658264 0.4243188053369522 0.4265772576133410 0.3881474848179257
2004 0.3015379309654236 0.5612355470657349 0.4218715280294418 0.4273302530248960 0.3881474848179257
2005 0.3189180195331574 0.5146973729133606 0.4528160393238068 0.4320583368341128 0.3881474848179257
2006 0.3352416753768921 0.5776888132095337 0.4588433206081390 0.4532216240962346 0.3881474848179257
2007 0.3061151504516602 0.5705000758171082 0.4777085036039352 0.4604238222042720 0.3881474848179257
2008 0.3215187489986420 0.5313488841056824 0.4390920102596283 0.4236644928654035 0.3881474848179257
2009 0.3477005064487457 0.5261127352714539 0.4309390038251877 0.4346262961626053 0.3881474848179257
2010 0.2725388109683991 0.6389285326004028 0.4287747889757156 0.4408504962921143 0.3881474848179257
2011 0.3477642536163330 0.5669187903404236 0.4193403869867325 0.4434116507569949 0.3881474848179257
2012 0.2853943407535553 0.4853575527667999 0.4014882445335388 0.3926225453615189 0.3881474848179257
2013 0.2434034347534180 0.5346689224243164 0.2864594161510468 0.3240611155827840 0.3881474848179257
