PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.2837856709957123 1.013435721397400 0.4058542102575302 0.4824211895465851 0.6530565689591802
1998 0.3520969748497009 0.6549596786499023 0.5074604153633118 0.5063201511899630 0.6530565689591802
1999 0.3300641775131226 0.8603387475013733 0.4921935945749283 0.5209006518125534 0.6530565689591802
2000 0.4054310321807861 0.7833340764045715 0.5633417963981628 0.5790992751717567 0.6530565689591802
2001 0.4316705763339996 0.6946897506713867 0.5828555524349213 0.5765526394049326 0.6530565689591802
2002 0.4111901819705963 0.8524119853973389 0.7113095521926880 0.6795131092270216 0.6530565689591802
2003 0.5791605114936829 0.9764989018440247 0.7965899705886841 0.7727881918350855 0.6530565689591802
2004 0.5301942229270935 0.8759783506393433 0.6960247159004211 0.7005618512630463 0.6530565689591802
2005 0.4925050139427185 1.089167952537537 0.6732862591743469 0.7027103404204050 0.6530565689591802
2006 0.5614174604415894 0.8702654242515564 0.7231442332267761 0.7065088351567587 0.6530565689591802
2007 0.5846969485282898 0.9351591467857361 0.8016305267810822 0.7700996895631155 0.6530565689591802
2008 0.5971080064773560 1.084471583366394 0.7186401784420013 0.7542772491772970 0.6530565689591802
2009 0.5814357995986939 0.9315748810768127 0.7388046681880951 0.7370720158020655 0.6530565689591802
2010 0.5639138221740723 0.9644309878349304 0.7642410099506378 0.7447060694297155 0.6530565689591802
2011 0.6010504364967346 0.9321919083595276 0.7334080338478088 0.7574963172276815 0.6530565689591802
2012 0.4108832776546478 0.8755891919136047 0.5892474949359894 0.5864947413404783 0.6530565689591802
2013 0.4287661314010620 0.6722595095634460 0.4705256521701813 0.5244393547375997 0.6530565689591802
