PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.1609433144330978 0.3636304736137390 0.2161089926958084 0.2393474414944649 0.4114291484449424
1998 0.2401344776153565 0.5381987094879150 0.3049129545688629 0.3361562465627988 0.4114291484449424
1999 0.2516778409481049 0.8641415834426880 0.3483933359384537 0.3946003143986066 0.4114291484449424
2000 0.3026492595672607 0.5060508847236633 0.3735117763280869 0.3778271004557610 0.4114291484449424
2001 0.2980650663375855 0.4843541383743286 0.3779456764459610 0.3828403751055400 0.4114291484449424
2002 0.2931824028491974 0.4727718234062195 0.3981987386941910 0.4025140802065532 0.4114291484449424
2003 0.3698332905769348 0.5887563824653626 0.4565222114324570 0.4577126701672872 0.4114291484449424
2004 0.3951352238655090 0.5384271740913391 0.4365730285644531 0.4479273806015651 0.4114291484449424
2005 0.3573517501354218 0.6308472156524658 0.4567749649286270 0.4582498123248418 0.4114291484449424
2006 0.2827827036380768 0.5675096511840820 0.4399831593036652 0.4384367763996124 0.4114291484449424
2007 0.3440113365650177 0.6365478634834290 0.4728807359933853 0.4813605770468712 0.4114291484449424
2008 0.4135707616806030 0.6370203495025635 0.4807565659284592 0.4882199590404828 0.4114291484449424
2009 0.3844771981239319 0.6158913373947144 0.4411027133464813 0.4597508708635966 0.4114291484449424
2010 0.3530677258968353 0.5414997935295105 0.4734012484550476 0.4623973891139031 0.4114291484449424
2011 0.3594518005847931 0.6409052014350891 0.4456705898046494 0.4507302443186442 0.4114291484449424
2012 0.3125840723514557 0.5363892912864685 0.3691886067390442 0.3756601884961128 0.4114291484449424
2013 0.2700724005699158 0.4027589857578278 0.3467677682638168 0.3405640969673793 0.4114291484449424
