PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.1737251281738281 0.5730156898498535 0.3738444447517395 0.3700498744845390 0.4340378612060758
1998 0.2661621868610382 0.6152227520942688 0.4074600189924240 0.4173708061377208 0.4340378612060758
1999 0.1753703504800797 0.6263963580131531 0.3485917001962662 0.3913581011195977 0.4340378612060758
2000 0.1075047776103020 0.5479717850685120 0.4107815474271774 0.3674743330727021 0.4340378612060758
2001 0.1687769889831543 0.5744952559471130 0.3556029349565506 0.3735451810061932 0.4340378612060758
2002 0.1952594667673111 0.8784483671188355 0.4187877625226975 0.4718604870140553 0.4340378612060758
2003 0.2591132521629334 0.8522257208824158 0.3997143507003784 0.4842661594351133 0.4340378612060758
2004 0.1655164211988449 0.8723397850990295 0.5156530141830444 0.5433583197494348 0.4340378612060758
2005 0.1797831058502197 0.8418534398078919 0.3799220323562622 0.4637460658947627 0.4340378612060758
2006 0.2035768479108810 0.7902327775955200 0.5041415840387344 0.5021206873158614 0.4340378612060758
2007 0.2068989425897598 0.7431259751319885 0.3829525709152222 0.4560118230680625 0.4340378612060758
2008 0.1429876536130905 0.9246599674224854 0.4064754694700241 0.4668186667064826 0.4340378612060758
2009 0.1660945266485214 1.142003059387207 0.4154122918844223 0.4996418903271357 0.4340378612060758
2010 0.1543218642473221 0.6961016058921814 0.4315906316041946 0.4588247773547967 0.4340378612060758
2011 0.1532934606075287 0.6651734709739685 0.3046501278877258 0.3592294665674369 0.4340378612060758
2012 0.09660598635673523 0.6168485879898071 0.3272357285022736 0.3740578678747018 0.4340378612060758
2013 0.1146752536296845 0.9458107352256775 0.2656431272625923 0.3789091333746910 0.4340378612060758
