PERIOD MIN MAX MED MEAN PERIOD_MEAN
1997 0.1973198950290680 0.4600690007209778 0.2579108253121376 0.2852612093091011 0.4467644566122224
1998 0.3418212831020355 0.4712084531784058 0.3917493224143982 0.3948603744308154 0.4467644566122224
1999 0.3467004299163818 0.5205981135368347 0.4170520454645157 0.4192303816477458 0.4467644566122224
2000 0.2997124493122101 0.4876346290111542 0.3786140531301498 0.3821111172437668 0.4467644566122224
2001 0.3432194888591766 0.4838360249996185 0.3922177106142044 0.3927736381689708 0.4467644566122224
2002 0.3820059597492218 0.6023245453834534 0.4338632375001907 0.4649013901750247 0.4467644566122224
2003 0.4216148257255554 0.5918025970458984 0.5278699696063995 0.5066986257831255 0.4467644566122224
2004 0.4133454859256744 0.6500841975212097 0.5454878509044647 0.5306365589300791 0.4467644566122224
2005 0.3975283503532410 0.6103779077529907 0.5399000644683838 0.5305266330639521 0.4467644566122224
2006 0.3846833407878876 0.6303775310516357 0.5243783295154572 0.5076233545939127 0.4467644566122224
2007 0.4333781898021698 0.6159282326698303 0.5137382745742798 0.5156480073928833 0.4467644566122224
2008 0.3984320759773254 0.5485961437225342 0.4846332222223282 0.4844968095421791 0.4467644566122224
2009 0.4004566669464111 0.5767997503280640 0.4690112024545670 0.4699065337578456 0.4467644566122224
2010 0.4274043142795563 0.5990348458290100 0.5280732512474060 0.5161472732822100 0.4467644566122224
2011 0.3615289628505707 0.5557358860969544 0.4666386395692825 0.4609261155128479 0.4467644566122224
2012 0.2623255252838135 0.5132573843002319 0.3759350329637528 0.3817539239923160 0.4467644566122224
2013 0.3106091618537903 0.3876533806324005 0.3594192713499069 0.3514938155810038 0.4467644566122224
