1 EAST_BERING_SEA
2 GULF_OF_ALASKA
3 CALIFORNIA_CURRENT
4 GULF_OF_CALIFORNIA
5 GULF_OF_MEXICO
6 SOUTHEAST_US_CONTINENTAL_SHELF
7 NORTHEAST_US_CONTINENTAL_SHELF
8 SCOTIAN_SHELF
9 LABRADOR_NEWFOUNDLAND
10 INSULAR_PACIFIC_HAWAIIAN
11 PACIFIC_CENTRAL_AMERICAN_COASTAL
12 CARIBBEAN_SEA
13 HUMBOLDT_CURRENT
14 PATAGONIAN_SHELF
15 SOUTH_BRAZIL_SHELF
16 EAST_BRAZIL_SHELF
17 NORTH_BRAZIL_SHELF
18 CANADIAN_EASTERN_ARCTIC_WEST_GREENLAND
19 GREENLAND_SEA
20 BARENTS_SEA
21 NORWEGIAN_SEA
22 NORTH_SEA
23 BALTIC_SEA
24 CELTIC_BISCAY_SHELF
25 IBERIAN_COASTAL
26 MEDITERRANEAN_SEA
27 CANARY_CURRENT
28 GUINEA_CURRENT
29 BENGUELA_CURRENT
30 AGULHAS_CURRENT
31 SOMALI_COASTAL_CURRENT
32 ARABIAN_SEA
33 RED_SEA
34 BAY_OF_BENGAL
35 GULF_OF_THAILAND
36 SOUTH_CHINA_SEA
37 SULU_CELEBES_SEA
38 INDONESIAN_SEA
39 NORTH_AUSTRALIAN_SHELF
40 NORTHEAST_AUSTRALIAN_SHELF
41 EAST_CENTRAL_AUSTRALIAN_SHELF
42 SOUTHEAST_AUSTRALIAN_SHELF
43 SOUTH_WEST_AUSTRALIAN_SHELF
44 WEST_CENTRAL_AUSTRALIAN_SHELF
45 NORTHWEST_AUSTRALIAN_SHELF
46 NEW_ZEALAND_SHELF
47 EAST_CHINA_SEA
48 YELLOW_SEA
49 KUROSHIO_CURRENT
50 SEA_OF_JAPAN
51 OYASHIO_CURRENT
52 SEA_OF_OKHOTSK
53 WEST_BERING_SEA
54 NORTHERN_BERING_CHUKCHI_SEAS
55 BEAUFORT_SEA
56 EAST_SIBERIAN_SEA
57 LAPTEV_SEA
58 KARA_SEA
59 ICELAND_SHELF_AND_SEA
60 FAROE_PLATEAU
61 ANTARCTICA
62 BLACK_SEA
63 HUDSON_BAY_COMPLEX
64 CENTRAL_ARCTIC
65 ALEUTIAN_ISLANDS
66 CANADIAN_HIGH_ARCTIC_NORTH_GREENLAND
99 PACIFIC_WARM_POOL
