Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,65301,269000,0
1951,0,0,82345.3333333333,309893,0
1952,0,88.3333333333333,91234.3333333333,327269.666666667,0
1953,0,127.666666666667,93278.6666666667,335780,0
1954,0,159.666666666667,98239,322006.666666667,0
1955,0,104.666666666667,101189.666666667,352618.333333333,0
1956,362,111,94011.3333333333,348454,0
1957,362,2044.33333333333,88113.3333333333,345053.333333333,0
1958,748.333333333333,2054.66666666667,82394.3333333333,377815.333333333,0
1959,656.666666666667,2703,94772.3333333333,442049.666666667,0
1960,886.666666666667,1406,247602,372746.333333333,0
1961,727.666666666667,1412.33333333333,395874.333333333,242803,0
1962,808.333333333333,767,551321.666666667,114092.333333333,0
1963,867.666666666667,250,419296.666666667,242875.333333333,0
1964,914,1015.33333333333,450759,232687.666666667,0
1965,834.666666666667,2519.66666666667,294514.333333333,367810,0
1966,967,3112.33333333333,291133,350853,0
1967,868,3596.66666666667,128562.333333333,494578.333333333,0
1968,763.666666666667,3703.66666666667,310505.666666667,363756.333333333,0
1969,480,5069.33333333333,472430,254126.666666667,0
1970,353,6611.66666666667,692933.333333333,120823.333333333,0
1971,225,8623.33333333333,667169.333333333,120956.333333333,7.66666666666667
1972,269.333333333333,10349.3333333333,488265,260675.333333333,27.6666666666667
1973,526,11227,426360.666666667,266793.333333333,27.6666666666667
1974,657.666666666667,11333.6666666667,435002.333333333,267132.333333333,31
1975,578.666666666667,12475,608568.333333333,132292,11
1976,494.333333333333,12854.3333333333,454936.666666667,258926.333333333,11
1977,920,12326.3333333333,569754.333333333,258372.333333333,14.3333333333333
1978,1075.33333333333,10687,678658.666666667,246082.666666667,401
1979,1145,10199.3333333333,944700.666666667,88302.3333333333,843
1980,1020.66666666667,9900.66666666667,888010.333333333,122360,1359.33333333333
1981,884.666666666667,9373,946765,119765.666666667,1818.66666666667
1982,1098.33333333333,10717.3333333333,1012598.33333333,135933.333333333,1995.66666666667
1983,1454,12366,1231145.33333333,73078,2296.66666666667
1984,2221.33333333333,48938,1226370.33333333,45332.6666666667,2218.66666666667
1985,5592.33333333333,54228.6666666667,1184709.33333333,23516,1981.33333333333
1986,5519.33333333333,76545,1040693.33333333,49551.3333333333,1552.66666666667
1987,5357.66666666667,73846.3333333333,927367,74737.3333333333,1585.66666666667
1988,2006.66666666667,88147.3333333333,821830,95535,2142.66666666667
1989,4140.66666666667,71157,706011.333333333,94737.3333333333,4319
1990,3736.33333333333,46933.3333333333,695751.666666667,85203.6666666667,7012
1991,3500,163575,533779,78962.6666666667,9555.66666666667
1992,859.666666666667,161594,554942,75994,9552.33333333333
1993,620.666666666667,175539,635051.666666667,80330.6666666667,9358
1994,2725.66666666667,189294.666666667,673559.333333333,57961,8516.66666666667
1995,2988,191164,673349.666666667,38232,9273.66666666667
1996,3465.33333333333,171227.333333333,635409,13001,10184
1997,1628.33333333333,27370.3333333333,777591.333333333,12952.6666666667,10812.6666666667
1998,1935.66666666667,25971,818948.333333333,27049,10093.6666666667
1999,2647.33333333333,29564.3333333333,844346,26531.3333333333,8995.33333333333
2000,3764.66666666667,27361.3333333333,866431,25011.6666666667,8996.33333333333
2001,4405.66666666667,30336,866093.333333333,1664,9173.33333333333
2002,4180.33333333333,30231.3333333333,828205.333333333,1396.33333333333,7777
2003,3617.33333333333,173598.333333333,649959.333333333,1109,6647.33333333333
2004,4242,282209,457219,1000,5469
2005,4290.33333333333,412390.333333333,267745.666666667,1761,5096
2006,4884,410364.333333333,248664.333333333,1398.33333333333,3422.33333333333
2007,4440,454112,203717,1000,2711.66666666667
2008,4988.66666666667,486676.333333333,178609,0,2531.66666666667
2009,5321.33333333333,487319.666666667,165888.333333333,0,3194
2010,6107,452607,196352,0,3389
