Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,9,19,0
1951,0,0,4,24,0
1952,0,0,5,24,0
1953,0,1,4,24,0
1954,0,1,4,24,0
1955,0,1,5,25,0
1956,0,1,5,25,0
1957,0,2,4,26,0
1958,0,2,3,27,0
1959,0,2,3,28,0
1960,0,3,2,29,0
1961,0,2,5,30,0
1962,0,2,5,30,0
1963,0,2,9,27,0
1964,0,2,12,27,0
1965,1,2,12,26,0
1966,1,3,11,25,0
1967,3,3,9,26,0
1968,3,3,12,23,0
1969,2,6,9,28,0
1970,3,3,13,24,0
1971,2,5,15,19,0
1972,2,7,10,23,0
1973,3,6,15,20,0
1974,3,5,17,19,0
1975,3,9,13,21,0
1976,6,9,12,20,0
1977,6,14,7,19,0
1978,7,10,10,18,0
1979,8,11,12,17,0
1980,6,11,13,17,0
1981,9,10,11,17,0
1982,8,12,10,17,0
1983,10,12,10,16,0
1984,11,12,8,19,0
1985,10,11,9,19,0
1986,12,8,14,16,0
1987,10,10,13,17,0
1988,8,13,10,17,1
1989,10,11,12,18,1
1990,8,14,11,17,1
1991,9,14,8,18,1
1992,10,14,7,17,2
1993,10,17,3,17,3
1994,13,13,7,17,3
1995,14,12,8,15,4
1996,16,13,10,12,2
1997,16,16,11,11,1
1998,18,15,10,11,2
1999,19,14,12,9,2
2000,18,13,14,8,2
2001,20,11,15,7,2
2002,22,13,14,5,1
2003,19,12,10,8,3
2004,18,13,13,4,3
2005,20,12,13,4,2
2006,19,12,13,3,3
2007,23,12,10,2,2
2008,23,11,10,2,3
2009,25,10,10,2,2
2010,23,10,10,2,3
