Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,8,0
1951,0,0,1,8,0
1952,0,0,1,10,0
1953,0,0,2,11,0
1954,0,0,1,12,0
1955,0,0,2,13,0
1956,0,0,2,13,0
1957,0,0,2,13,0
1958,0,0,2,13,0
1959,0,0,2,13,0
1960,0,0,2,13,0
1961,0,0,3,12,0
1962,0,0,3,12,0
1963,0,0,3,11,0
1964,0,1,3,13,0
1965,0,1,3,14,0
1966,0,1,4,15,0
1967,0,1,3,15,0
1968,0,1,4,16,0
1969,1,0,1,19,0
1970,0,1,3,27,0
1971,0,1,5,21,0
1972,0,1,6,22,0
1973,0,1,9,21,0
1974,0,1,9,22,0
1975,0,1,7,27,0
1976,1,1,7,26,0
1977,0,2,8,24,0
1978,0,2,10,23,0
1979,0,2,10,21,0
1980,0,3,10,22,0
1981,0,1,12,21,0
1982,1,3,6,21,0
1983,1,4,3,22,0
1984,1,4,4,22,0
1985,2,4,4,20,0
1986,2,3,6,20,0
1987,2,2,9,18,0
1988,2,2,10,17,0
1989,1,6,10,16,0
1990,2,5,10,17,1
1991,3,3,14,13,0
1992,1,5,15,11,1
1993,2,7,14,9,1
1994,2,6,15,6,2
1995,0,7,15,7,4
1996,3,6,14,7,4
1997,4,7,14,6,2
1998,7,3,13,4,4
1999,6,5,11,3,3
2000,7,8,10,4,2
2001,5,7,10,4,2
2002,6,6,9,4,2
2003,7,8,7,3,3
2004,7,7,8,3,2
2005,8,6,9,3,2
2006,7,8,9,2,3
2007,8,6,7,3,3
2008,8,6,9,1,2
2009,8,7,8,1,2
2010,8,7,8,1,2
