Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,6,1,0
1951,0,0,6,2,0
1952,0,0,6,2,0
1953,0,0,6,2,0
1954,0,0,6,2,0
1955,0,0,7,1,0
1956,0,0,7,1,0
1957,0,1,6,1,0
1958,0,1,6,2,0
1959,0,1,6,2,0
1960,0,0,7,2,0
1961,0,0,7,2,0
1962,0,0,7,2,0
1963,0,0,7,2,0
1964,0,1,6,2,0
1965,0,1,6,2,0
1966,0,1,6,2,0
1967,0,1,6,2,0
1968,0,0,7,2,0
1969,0,0,7,2,0
1970,0,0,7,2,0
1971,0,1,6,2,0
1972,0,1,6,2,0
1973,0,0,8,1,0
1974,0,1,6,1,0
1975,0,1,7,1,0
1976,0,2,6,1,0
1977,0,3,5,1,0
1978,0,4,4,1,0
1979,0,6,2,1,0
1980,0,6,2,1,0
1981,0,6,2,1,0
1982,0,7,2,0,0
1983,1,6,2,0,0
1984,1,6,2,0,0
1985,0,6,2,0,1
1986,1,6,1,0,1
1987,0,6,1,1,1
1988,0,6,1,1,1
1989,0,5,2,1,1
1990,1,5,2,1,0
1991,2,6,1,1,0
1992,0,6,2,1,1
1993,1,5,2,1,1
1994,2,4,1,1,1
1995,2,4,2,0,1
1996,2,4,2,0,1
1997,2,4,2,0,1
1998,3,3,2,0,1
1999,4,2,3,0,1
2000,4,2,3,0,1
2001,4,1,3,0,2
2002,3,2,2,0,2
2003,5,2,1,0,1
2004,5,1,1,0,1
2005,4,2,1,0,1
2006,5,1,1,0,1
2007,0,1,0,0,2
2008,0,1,0,0,2
2009,0,1,0,0,2
2010,0,1,0,0,2
