Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,13778,196251,0
1951,0,0,13286.3333333333,285942.666666667,0
1952,0,218.333333333333,15251.6666666667,342929,0
1953,0,436.333333333333,17865.3333333333,366489.666666667,0
1954,0,2429.33333333333,22823.6666666667,376853,0
1955,0,3427.33333333333,25389,432951.666666667,0
1956,0,3882,70009.3333333333,455980.333333333,0
1957,0,2880,68170.3333333333,495485.666666667,0
1958,0,2428,71383,495123.333333333,0
1959,0,3587,32726.6666666667,543881,0
1960,0,4383,32994.6666666667,604488,0
1961,0,7925.66666666667,23942.6666666667,677878,0
1962,140.333333333333,9258,15071.3333333333,762916.666666667,0
1963,468.666666666667,11855.3333333333,329030.666666667,629432.333333333,0
1964,610.666666666667,12233.3333333333,603547.666666667,557665,0
1965,470.333333333333,13838.3333333333,929075,440392.666666667,0
1966,253,14396,946292,534091.333333333,0
1967,335,11374,1212153,498888.666666667,0
1968,540.666666666667,13224.3333333333,1257631.33333333,574945.666666667,0
1969,539.666666666667,177836.666666667,1112050.33333333,497357,0
1970,757.333333333333,287508,717190.666666667,542397,0
1971,2174.66666666667,428232.666666667,632955.333333333,443325.666666667,0
1972,2490.33333333333,392943.666666667,692171.333333333,522704.666666667,0
1973,3671,446046,709695,505946.333333333,0
1974,3704,307171,826985,643048.666666667,0
1975,3941.66666666667,373315.333333333,1007131,590641,0
1976,2984.66666666667,275010.333333333,1356847.33333333,569533.666666667,0
1977,38596,274966.333333333,1761059.66666667,317696.333333333,0
1978,58982.6666666667,112290,1912139.33333333,205240,3840.33333333333
1979,81180.3333333333,169176,1802625,78182.6666666667,9451.33333333333
1980,73935,327131.333333333,1393768,74488.3333333333,14770.3333333333
1981,72768,357620,1207724,194839,10930
1982,78478,291836.333333333,1212941,310998.666666667,5319
1983,75214.3333333333,179254.333333333,1203601,396889.333333333,0
1984,83975.3333333333,155412,1183465.66666667,372890.666666667,0
1985,84433,152267,1166227.33333333,338918,33.6666666666667
1986,94471.6666666667,186771,1398431,246074,70
1987,104349.666666667,208938,1555489,128527,70
1988,114500,457286,1311871,38003.3333333333,1021.33333333333
1989,82649,647407.333333333,691734,41913,985
1990,87170.6666666667,791288,157389.333333333,50444.3333333333,985
1991,54135.3333333333,748643.333333333,188405,36217.6666666667,247.666666666667
1992,57194.6666666667,720055,396263.333333333,21598,1454
1993,16276,722972,581925,11556,14014
1994,13142.6666666667,672129.666666667,568147,15167.6666666667,28588
1995,59046.3333333333,511961.666666667,508322.666666667,14429,29404.3333333333
1996,87127.6666666667,525432.333333333,370190,11029,18347.3333333333
1997,86873.6666666667,479918,341917,11922,57151
1998,37404.6666666667,642238.333333333,217524.333333333,16325.6666666667,136554.333333333
1999,11773.3333333333,577160.333333333,286613.333333333,22913.3333333333,251448.333333333
2000,14020.6666666667,657588.333333333,181519,27324.6666666667,307859.333333333
2001,12536.3333333333,663157.666666667,201463,25942,318825
2002,21497.6666666667,777475,113385,22034.6666666667,302837.333333333
2003,28688,798390.333333333,114972.333333333,20518.6666666667,272232
2004,74796,711345.333333333,84445.3333333333,23418.6666666667,286988.666666667
2005,102302.333333333,596504.333333333,77190.6666666667,22696.6666666667,246407.666666667
2006,116494,466887.333333333,80755.3333333333,18288,271602.333333333
2007,85894,430091,114674.666666667,9150,271158.333333333
2008,67199.3333333333,403866.666666667,121142.333333333,5105,292572.666666667
2009,66416.3333333333,395600,134287.333333333,0.333333333333333,281987.333333333
2010,76814,380686,159168,0,282121
