Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1223984,496043,0
1951,0,0,1307814.66666667,531264.333333333,0
1952,0,0,1391929.66666667,536677.666666667,0
1953,0,2228,1452589.33333333,581545.666666667,0
1954,223.666666666667,2491,1530538,613182.333333333,0
1955,223.666666666667,5133.33333333333,1554908.66666667,658412,0
1956,223.666666666667,4841.66666666667,1463328.33333333,673852.666666667,0
1957,0,6483.66666666667,1332930.66666667,665069.666666667,0
1958,0,6394.66666666667,1252310.33333333,651681,0
1959,0,6479,1228722.66666667,641064.333333333,0
1960,99.3333333333333,7104.33333333333,1243876.33333333,639024,0
1961,330.666666666667,7245,1198982,704466,0
1962,508.666666666667,7523,1273867,770314.333333333,0
1963,438.333333333333,7154,1444241.33333333,854370.333333333,0
1964,207,6856.66666666667,1780516.33333333,863824.666666667,0
1965,505.666666666667,10576.3333333333,2118829.66666667,825707.333333333,0
1966,615.333333333333,15460,2421300.33333333,788712.333333333,0
1967,986.666666666667,18211,2763493.33333333,700083,0
1968,653.666666666667,17714.3333333333,2942671.66666667,613000.333333333,0
1969,673.666666666667,123054.666666667,2889220,557209.333333333,0
1970,607,546029.333333333,2149937.66666667,684476.666666667,50
1971,645.333333333333,926673.333333333,1673078.33333333,683866.333333333,50
1972,549.333333333333,1242004,1339614.66666667,701731,50
1973,778,1129501.33333333,1638729,710740.333333333,138.666666666667
1974,921.666666666667,1045210.66666667,1902368.66666667,707002,282.666666666667
1975,1241,884523,2178309,684481,362.333333333333
1976,50853.6666666667,723717.333333333,2373822.66666667,389722.666666667,223.666666666667
1977,83981,685721.666666667,2253479,281105.333333333,79.6666666666667
1978,108380.666666667,671420.666666667,2094911.33333333,137293.666666667,0
1979,87893,647382.333333333,2090527,148066.666666667,0
1980,103355.666666667,630969.333333333,2012973,140933.333333333,0
1981,151572,633135.666666667,2008276.33333333,135948,0
1982,143129.666666667,695175,1611168.33333333,328272.333333333,99854.3333333333
1983,116057.666666667,600849,1658784.66666667,334602.666666667,221443.666666667
1984,70066.6666666667,607836.333333333,1519682.33333333,344361.333333333,409045.333333333
1985,49638,653914.666666667,1594439.66666667,165267.666666667,539473.666666667
1986,28042.3333333333,734821,1453793.33333333,169863.333333333,673994.666666667
1987,1561,784472,1509605.33333333,131417.666666667,737092.333333333
1988,1157.66666666667,826351,1526899.66666667,129090.333333333,772682
1989,17356.3333333333,809565,1452141.66666667,104959.333333333,745407.333333333
1990,32953.6666666667,735737.333333333,1458458.33333333,99439.6666666667,731359.666666667
1991,51423,594287.333333333,1600526.33333333,88520,720483
1992,40398.3333333333,652121.333333333,1629545.33333333,58892.6666666667,750212.666666667
1993,24742,706314.666666667,1568174.33333333,79047.6666666667,790271.666666667
1994,6293.66666666667,897460.333333333,1443841.66666667,76494,790801
1995,1483.66666666667,925030.666666667,1337934.33333333,104707.666666667,689902.666666667
1996,1925,869755.666666667,1378175.33333333,111330.333333333,579621.333333333
1997,3300.33333333333,793062,1278628.66666667,78695.6666666667,519883.666666667
1998,4160,722213,1354450,49001,564257.333333333
1999,26938.3333333333,720015.666666667,1232590.66666667,12385,604916.666666667
2000,73432.3333333333,609085,1234216.66666667,9792.66666666667,622427
2001,98166.6666666667,582192.333333333,1226660,8998.33333333333,648003
2002,117202,604239.666666667,953717,11120.3333333333,711468.333333333
2003,106932.333333333,734248.333333333,631689.333333333,10905,785595.666666667
2004,105743.666666667,757468,311726,9870.66666666667,841634.666666667
2005,110342,722587.666666667,285070.666666667,8597.66666666667,829786.333333333
2006,103034.666666667,674942.666666667,218184.333333333,9473.33333333333,821184.333333333
2007,118022,703480.666666667,170809,11047.6666666667,834014.333333333
2008,121991,729422.666666667,127881.333333333,12924.3333333333,890041.333333333
2009,125680,763549.666666667,124486.666666667,14419,977057.333333333
2010,103159,778003,128534,16555,1097517
