Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,58690,28713,0
1951,0,0,62987.3333333333,40114.6666666667,0
1952,0,0,62869.3333333333,45006.6666666667,0
1953,0,0,62309,44971.3333333333,0
1954,0,0,63787.3333333333,44178.6666666667,0
1955,0,0,62258.6666666667,45395.6666666667,0
1956,0,0,60861,45638,0
1957,117,0,38780.3333333333,78015,0
1958,284,0,20863.6666666667,111838,0
1959,401,0,5151,145960.666666667,0
1960,384.333333333333,0,11058.3333333333,150773,0
1961,317.666666666667,0,51147,130645.333333333,0
1962,317.666666666667,0,70105,148109.666666667,0
1963,401,0,122469.666666667,138102.666666667,0
1964,497.666666666667,0,146011.333333333,156546,0
1965,601,0,193065.333333333,136807.666666667,0
1966,641,0,210550,144834.666666667,0
1967,674.333333333333,0,226762.333333333,156863.333333333,0
1968,651,273.666666666667,237935.333333333,166197,0
1969,639,5446,239491.666666667,197960.333333333,0
1970,610.333333333333,10028.6666666667,244165.333333333,221771.666666667,0
1971,624.666666666667,16637.3333333333,256699,247684.666666667,0
1972,856.666666666667,15895.6666666667,272410.666666667,264952.666666667,0
1973,1137,15911.6666666667,303214.333333333,269743.333333333,0
1974,1460,10686,334701,272724,0
1975,1320,10571,359672.666666667,251586.333333333,0
1976,1416.33333333333,7311.33333333333,355139.333333333,261471.666666667,0
1977,1536.33333333333,15896.3333333333,303708,302881,0
1978,1993.33333333333,27637,237351,352029,0
1979,2162.66666666667,34477.6666666667,187149.333333333,380237.666666667,0
1980,2111,38557,179760.666666667,378917.666666667,113.333333333333
1981,2416.33333333333,31991.6666666667,230194.333333333,351806.333333333,145.333333333333
1982,2595,35010,280937.333333333,328556.666666667,157
1983,3278.66666666667,30152.3333333333,306709,330206.333333333,43.6666666666667
1984,3028.66666666667,35136.6666666667,286444.333333333,357664.666666667,11.6666666666667
1985,2744.66666666667,36198,297917.333333333,351332,0
1986,1979,32692,335137,327781.666666667,116
1987,1790.66666666667,23232,400630.333333333,294792,278.333333333333
1988,1781,15506,434022.333333333,297308,445.666666666667
1989,1906,25677.3333333333,445692,307238,459
1990,1425.33333333333,38160.6666666667,441407,332730.333333333,340.333333333333
1991,1347.66666666667,45764,461605.333333333,338572,234
1992,1678,37646,537071.666666667,291588,162.666666666667
1993,1724,38126.3333333333,598041.333333333,242085,184
1994,1826,39498.3333333333,624638.666666667,214741.333333333,199
1995,1492.33333333333,47809.6666666667,593215.666666667,227347.333333333,226
1996,1762,45521,596682.666666667,224841.666666667,236.333333333333
1997,1645.33333333333,47708,605261,208707.666666667,244.333333333333
1998,1379.66666666667,50550.6666666667,650657.666666667,187530,1062.66666666667
1999,1455,56286.3333333333,677531.333333333,176637,1229
2000,1501,56229.6666666667,717663,175687,1475.66666666667
2001,1713.33333333333,50498,735896.666666667,185024.666666667,840.333333333333
2002,1278.66666666667,48458.3333333333,755031.333333333,196079,1593.33333333333
2003,1294,51891.3333333333,765152,203941,1554.66666666667
2004,1211,54090,787119.666666667,202575.333333333,1614
2005,1666,48782.3333333333,808183,203491,1208.66666666667
2006,1555.66666666667,41928.3333333333,827633.666666667,240669.333333333,1381.33333333333
2007,1391.33333333333,40455.3333333333,829449.666666667,282899,1903.66666666667
2008,1199.66666666667,41722.6666666667,833885.666666667,321094.666666667,2110
2009,1186.66666666667,40651.3333333333,840029,337070.333333333,2455.33333333333
2010,1435,33440,862240,365721,2430
