Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,1,23,0
1951,0,0,1,25,0
1952,0,0,1,25,0
1953,0,0,4,23,0
1954,0,0,10,17,0
1955,0,0,10,17,0
1956,0,0,10,17,0
1957,0,1,11,16,0
1958,0,1,7,20,0
1959,0,1,8,19,0
1960,0,2,9,16,0
1961,0,4,6,17,0
1962,0,4,8,15,0
1963,3,3,4,10,0
1964,2,4,5,10,0
1965,3,3,2,10,0
1966,5,3,1,10,0
1967,4,3,1,13,0
1968,4,2,1,13,0
1969,3,3,2,10,0
1970,4,1,0,14,0
1971,4,1,2,12,0
1972,6,2,1,12,0
1973,4,1,2,15,0
1974,4,2,4,11,0
1975,2,3,4,10,1
1976,3,1,7,8,0
1977,3,2,4,7,0
1978,4,2,5,5,0
1979,5,2,6,5,0
1980,4,3,4,4,0
1981,5,2,4,5,0
1982,4,4,3,6,0
1983,6,4,2,6,0
1984,5,4,1,6,0
1985,6,4,1,5,0
1986,5,5,1,5,0
1987,6,4,0,4,0
1988,6,5,0,4,0
1989,9,3,0,4,0
1990,8,3,0,4,0
1991,8,4,0,4,0
1992,7,3,1,5,0
1993,6,3,1,4,0
1994,10,2,13,9,2
1995,9,5,14,5,3
1996,9,4,15,5,4
1997,9,9,10,4,5
1998,8,9,9,4,5
1999,8,6,11,4,5
2000,10,9,11,5,2
2001,13,7,12,5,2
2002,12,6,11,2,4
2003,9,6,14,2,3
2004,9,8,14,1,4
2005,15,6,10,1,4
2006,11,5,11,0,9
2007,13,6,9,0,6
2008,14,6,8,0,6
2009,16,3,9,0,6
2010,15,5,7,0,6
