Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,338,74069,0
1951,0,0,470.333333333333,102065.333333333,0
1952,0,0,1338,122896,0
1953,0,0,22134,128055.333333333,0
1954,0,0,42974,113710.666666667,0
1955,0,0,61163,107844,0
1956,0,62,61653.6666666667,113055.666666667,0
1957,0,101,56415.6666666667,125301,0
1958,0,139.333333333333,56304.3333333333,129218.333333333,0
1959,0,4685.66666666667,54414.3333333333,133991.666666667,0
1960,0,17242.3333333333,40021.3333333333,141639.666666667,0
1961,0,29061.6666666667,23685.3333333333,152799.666666667,0
1962,50.6666666666667,24937.6666666667,133374.666666667,112059.333333333,0
1963,422.333333333333,18427.3333333333,229721,61076,0
1964,663.333333333333,10105,329981.666666667,10155.3333333333,0
1965,838.666666666667,12628,303915.333333333,10942,0
1966,557,9136,327138.666666667,11927,0
1967,357.333333333333,7391,331893.666666667,11406.3333333333,0
1968,1023.33333333333,61374.3333333333,228991,11057.3333333333,0
1969,1860,87554.3333333333,108018,11514,0
1970,2334.33333333333,118485,770.666666666667,13057.3333333333,0
1971,1973,93650,598,14475.6666666667,0
1972,1629,82068,957,16999.6666666667,0
1973,1720,62471.6666666667,3600.33333333333,23254,0
1974,1194.66666666667,46400.3333333333,13136.6666666667,29520,24.6666666666667
1975,9101,31805,16001,39399,24.6666666666667
1976,17865.6666666667,24364.3333333333,15273.3333333333,42213.3333333333,24.6666666666667
1977,29327.6666666667,8640,9710.66666666667,43643,0
1978,32488,8142,11489,38187,0
1979,35564.6666666667,4072.66666666667,11089.3333333333,35844,0
1980,25104.6666666667,17863.6666666667,8516.33333333333,34151.6666666667,0
1981,14867,31056.6666666667,4913,33389.6666666667,0
1982,3453,43999,4006.33333333333,32250,0
1983,11945,30428.6666666667,3837,32445.6666666667,0
1984,14654,15739.3333333333,4270.33333333333,34948.6666666667,0
1985,15983,1959.66666666667,4842.66666666667,40383.3333333333,0
1986,11329,2658,3503.66666666667,46160.6666666667,0
1987,7520.66666666667,17373,1672,44947.6666666667,0
1988,5767.66666666667,44625,0,44213.6666666667,0
1989,1592.66666666667,61156.6666666667,0,43699.3333333333,0
1990,6885.33333333333,46665,0,48117.3333333333,0
1991,8015.66666666667,19874,54.6666666666667,51998,0
1992,8123,3679,100.666666666667,54244.6666666667,0
1993,6773.33333333333,3445.66666666667,15335.3333333333,58824.3333333333,247
1994,8506.66666666667,4911.66666666667,35326.3333333333,55055.3333333333,515.666666666667
1995,10956.3333333333,4386.66666666667,57326,49698.6666666667,824.333333333333
1996,9770.33333333333,7844.33333333333,60465,39242.3333333333,1170.66666666667
1997,8967.33333333333,7716.33333333333,59713.6666666667,36549,1532.33333333333
1998,8124.66666666667,8545,58985.6666666667,38513,1757
1999,7096.33333333333,7102.66666666667,58550,43294.3333333333,1424.33333333333
2000,9192,5940.33333333333,59960.6666666667,47366,1057.66666666667
2001,11130.6666666667,4928.33333333333,73137,33522,3483.33333333333
2002,13344,5366.33333333333,77550.3333333333,33526.6666666667,7509.66666666667
2003,12295.3333333333,7161.33333333333,110598,17114.3333333333,11191.6666666667
2004,11834,8631,129830,16083.6666666667,11932
2005,11619.3333333333,7605.66666666667,165183.333333333,362,11130.6666666667
2006,13665,6202.33333333333,169977,164.666666666667,8120.33333333333
2007,16394.3333333333,6538.66666666667,170240.666666667,0,5127.66666666667
2008,18084,5741.33333333333,162793,0,2464.66666666667
2009,18330.6666666667,6326,156097.666666667,0,2292.33333333333
2010,18030,7171,155553,0,2289
