Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,107,0
1951,0,0,44.3333333333333,76.6666666666667,0
1952,0,0,93.3333333333333,41.3333333333333,0
1953,0,0,178,1,0
1954,0,13.3333333333333,133.666666666667,1,0
1955,7.33333333333333,13.3333333333333,84.6666666666667,1,0
1956,13.3333333333333,13.3333333333333,0,1,0
1957,13.3333333333333,14,0,2,0
1958,6,36.6666666666667,0,3.33333333333333,0
1959,0,36.6666666666667,44,4.66666666666667,0
1960,0,42.6666666666667,44,5.33333333333333,0
1961,0,37.6666666666667,44,6.33333333333333,0
1962,0,60.6666666666667,0,5.33333333333333,0
1963,0,75.6666666666667,0,4,0
1964,0,75.6666666666667,0,2.66666666666667,0
1965,0,65.6666666666667,0,4.33333333333333,0
1966,0,55.3333333333333,0,6.33333333333333,0
1967,0,53,0,7,0
1968,0,57.6666666666667,0,8,0
1969,0,53.6666666666667,0,10,0
1970,0,69.6666666666667,0,13,0
1971,0,78.3333333333333,0,16.3333333333333,0
1972,0,69.3333333333333,0,15.3333333333333,0
1973,7.33333333333333,38,0,10.3333333333333,0
1974,15,11.6666666666667,0,3.66666666666667,0
1975,15,12.6666666666667,0,6.66666666666667,0
1976,13,12.6666666666667,0,17.3333333333333,0
1977,11,12.6666666666667,0,56.6666666666667,0
1978,14.6666666666667,0,0,108.666666666667,0
1979,12.3333333333333,0,0,115.666666666667,0
1980,14,0,0,141.666666666667,0
1981,10.3333333333333,8.66666666666667,90.3333333333333,83,0
1982,15.3333333333333,8.66666666666667,231.333333333333,65.3333333333333,0
1983,8,8.66666666666667,366.333333333333,0,0
1984,8,0,368,0,0
1985,4,32,227,0,0
1986,10.6666666666667,65.6666666666667,92,0,0
1987,10.6666666666667,129,0,0,0
1988,6.66666666666667,107.333333333333,79.3333333333333,0,0
1989,0,99.6666666666667,176.333333333333,0,0
1990,0,45,250.333333333333,0,0
1991,0,47.3333333333333,244.666666666667,0,0
1992,0.333333333333333,21.3333333333333,241.333333333333,0,0
1993,0.333333333333333,39.6666666666667,167.333333333333,0,0
1994,0.333333333333333,53.6666666666667,93.6666666666667,0,0
1995,0,88,0,0,0
1996,0,102.333333333333,0,0,0
1997,0,132.333333333333,0,0,0
1998,2,98,103,0,0
1999,6.33333333333333,56.6666666666667,239.666666666667,0,0
2000,6.66666666666667,0,328,0,0
2001,4.66666666666667,0,312.333333333333,0,0
2002,0.333333333333333,51.6666666666667,175.666666666667,0,0
2003,0,84,87.3333333333333,0,0
2004,0,124.666666666667,0,0,0
2005,1.33333333333333,112,0,0,0
2006,2.66666666666667,119.333333333333,0,0,0
2007,4,115.333333333333,0,0,0
2008,4.33333333333333,114.333333333333,0,0,0
2009,4.66666666666667,109.333333333333,0,0,0
2010,5,104,0,0,0
