Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,5031,15519,0
1951,0,0,4685,13801.3333333333,0
1952,0,0,7551.66666666667,10159.3333333333,0
1953,0,0,6268.33333333333,11402.6666666667,0
1954,0,0,10328.6666666667,10748,0
1955,0,0,12814,12186.6666666667,0
1956,0,0,17982.6666666667,9187.33333333333,0
1957,0,0,21276.6666666667,8891.33333333333,0
1958,0,891.666666666667,22314.3333333333,8901.66666666667,0
1959,0,1806.66666666667,25445.3333333333,8086,0
1960,0,2891,25488,9249,0
1961,0,3060.66666666667,26015,9651,0
1962,0,3378.33333333333,26179.6666666667,10689.6666666667,0
1963,0,3575.66666666667,23758.3333333333,11496,0
1964,0,3776.33333333333,20621,12995,0
1965,0,3754.33333333333,17212.3333333333,15028.3333333333,0
1966,0,3515.33333333333,17195,18274.3333333333,0
1967,0,5676.33333333333,15108.3333333333,22937.6666666667,0
1968,0,8939.33333333333,11377,28751,0
1969,0,13171,6026,34258.3333333333,0
1970,23.3333333333333,15031.3333333333,5354.66666666667,34580.6666666667,0
1971,68.3333333333333,14495,5894.33333333333,35092.3333333333,0
1972,111.666666666667,13260.3333333333,13395,37951.3333333333,0
1973,120,12819.6666666667,12982.6666666667,45237.6666666667,0
1974,107.666666666667,14361,15613,60311.6666666667,0
1975,109,13844.3333333333,7839,72329,0
1976,146.333333333333,11477,8381,87034,0
1977,194,11102,6165.66666666667,90762.6666666667,0
1978,237.666666666667,12398.3333333333,30246,81560.6666666667,0
1979,237.666666666667,15776.3333333333,58102,80924,0
1980,494.666666666667,15528.3333333333,94025,82102.6666666667,119.333333333333
1981,802.666666666667,10838.3333333333,167389.666666667,64615.3333333333,119.333333333333
1982,1308,19334.3333333333,180699.666666667,34215.3333333333,119.333333333333
1983,1204.33333333333,33122.6666666667,149207,29828,0
1984,1216.33333333333,54286.3333333333,93028.6666666667,30307.6666666667,84.6666666666667
1985,946,56700.3333333333,99941.3333333333,31960.6666666667,172.333333333333
1986,998.666666666667,39290.3333333333,167996.333333333,6691.66666666667,307.333333333333
1987,632.666666666667,36132.6666666667,176637.666666667,6820,417
1988,367.666666666667,34776,184767,7480.33333333333,1090.66666666667
1989,270.333333333333,39366.6666666667,118477.333333333,35707.6666666667,1700
1990,2252.66666666667,23333.3333333333,77697.6666666667,65325,2294.66666666667
1991,2894.66666666667,14055,23326.3333333333,90666,2176.33333333333
1992,3137.66666666667,10546.3333333333,22071.3333333333,87505.6666666667,2140.33333333333
1993,1498.33333333333,11548.3333333333,20504,84552,1900.66666666667
1994,4431.33333333333,8575.33333333333,24179.6666666667,89814.6666666667,1958
1995,5592.33333333333,8134.66666666667,67810.3333333333,65079.3333333333,1936.66666666667
1996,6158,6959.33333333333,114546.333333333,39198.3333333333,2074.66666666667
1997,3391.33333333333,5471.66666666667,146112,8353.66666666667,1858.66666666667
1998,3081.33333333333,6808,138446.666666667,7219,1800
1999,3682,7747.33333333333,137473,6553.33333333333,2084.66666666667
2000,3387.33333333333,12056.3333333333,159368.333333333,5878,2288
2001,3295,14918.6666666667,178981,6639.33333333333,2847.66666666667
2002,2624.66666666667,14214.6666666667,186537.333333333,6526.66666666667,2721.66666666667
2003,2933.66666666667,10288.6666666667,177791.333333333,5593.66666666667,2848.33333333333
2004,2656.66666666667,7312,172942,4548,2213.66666666667
2005,2689,8252.66666666667,169472.333333333,3832,1921
2006,3052.33333333333,8311.66666666667,169017.666666667,5070.66666666667,1756.33333333333
2007,3105,9275.33333333333,177956,6505,2052.33333333333
2008,2988.33333333333,11374.6666666667,186712.666666667,7681.33333333333,2287
2009,2500.33333333333,14178.6666666667,195544.333333333,8394.66666666667,2462.66666666667
2010,2211,14741,184297,9712,2476
