01,East Bering Sea,83,1,70,2,0.1,5
03,California Current,50,3,50,3,0,5
05,Gulf Of Mexico,71,2,58,3,0.2,5
06,Southeast U.S. Continental Shelf,58,3,65,2,0.2,5
07,Northeast U.S. Continental Shelf,75,2,49,3,0,5
08,Scotian Shelf,63,2,50,3,0,5
09,Labrador Newfoundland,63,2,50,3,0,5
11,Pacific Central American Coastal,53,3,65,2,0.1,5
12,Caribbean Sea,53,3,60,3,0.2,5
13,Humboldt Current,50,3,68,2,1,1
14,Patagonian Shelf,50,3,82,1,0.2,5
15,South Brazil Shelf,100,1,36,4,0,5
17,North Brazil Shelf,64,2,58,3,0.2,5
18,Canadian Eastern Arctic West Greenland,80,2,72,2,1,1
19,Greenland Sea,75,2,74,2,0.1,5
20,Barents Sea,75,2,74,2,0.1,5
21,Norwegian Sea,83,1,76,2,0.1,5
22,North Sea,62,2,73,2,0.1,5
23,Baltic Sea,65,2,61,2,0.1,5
24,Celtic Biscay Shelf,59,3,74,2,1,1
25,Iberian Coastal,41,3,74,2,1,1
26,Mediterranean Sea,85,1,78,2,1,1
27,Canary Current,69,2,46,3,0.2,5
28,Guinea Current,56,3,54,3,0.2,5
29,Benguela Current,93,1,80,2,1,1
30,Agulhas Current,69,2,47,3,0.1,5
32,Arabian Sea,86,1,45,3,0.1,5
33,Red Sea,65,2,52,3,0.2,5
34,Bay Of Bengal,87,1,50,3,0.1,5
35,Gulf Of Thailand,75,2,50,3,0.1,5
36,South China Sea,68,2,50,3,0.1,5
37,Sulu Celebes Sea,71,2,50,3,0.1,5
38,Indonesian Sea,56,3,52,3,0.1,5
39,North Australian Shelf,80,2,51,3,0.1,5
47,East China Sea,83,1,43,3,0.1,5
48,Yellow Sea,67,2,33,4,0.5,3
49,Kuroshio Current,50,3,56,3,0.3,4
50,Sea Of Japan,88,1,30,4,0.5,3
51,Oyashio Current,100,1,30,4,0.3,4
52,Sea Of Okhotsk,100,1,38,4,0.9,1
53,West Bering Sea,100,1,60,3,0.3,4
54,Northern Bering Chukchi Seas,88,1,69,2,1,1
55,Beaufort Sea,100,1,67,2,1,1
59,Iceland Shelf And Sea,90,1,78,2,0.1,5
60,Faroe Plateau,71,2,77,2,1,1
61,Antarctica,59,3,70,2,1,1
62,Black Sea,74,2,77,2,0.1,5
64,Central Arctic,72,2,73,2,1,1
66,Canadian High Arctic North Greenland,75,2,77,2,1,1
99,Pacific Warm Pool,57,3,51,3,1,1
