LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
HUDSON_BAY,!Y_1997,6,0.3996714353561401,7.926592350006104,1.056901454925537,2.129840393861135,!YEAR,17,1.310776118291359,0.8190642755697757,1997
HUDSON_BAY,!Y_1998,9,1.022727251052856,3.262518405914307,1.176830053329468,1.476819793383281,!YEAR,17,1.310776118291359,0.1660436750919212,1998
HUDSON_BAY,!Y_1999,10,0.6152749061584473,5.869669914245606,1.099336266517639,1.776983290910721,!YEAR,17,1.310776118291359,0.4662071726193615,1999
HUDSON_BAY,!Y_2000,9,0.5045262575149536,4.890554904937744,1.115893483161926,1.435114045937856,!YEAR,17,1.310776118291359,0.1243379276464967,2000
HUDSON_BAY,!Y_2001,9,0.3729413747787476,4.649961471557617,0.9701691865921021,1.451668169763353,!YEAR,17,1.310776118291359,0.1408920514719938,2001
HUDSON_BAY,!Y_2002,9,0.3070781230926514,3.176787614822388,0.8796845674514771,1.165565305285984,!YEAR,17,1.310776118291359,-0.1452108130053758,2002
HUDSON_BAY,!Y_2003,10,0.2672649919986725,4.441393852233887,0.9872484505176544,1.210744014382363,!YEAR,17,1.310776118291359,-0.1000321039089969,2003
HUDSON_BAY,!Y_2004,10,0.3427806198596954,3.992746114730835,0.9350753426551819,1.192081990838051,!YEAR,17,1.310776118291359,-0.1186941274533084,2004
HUDSON_BAY,!Y_2005,10,0.2703380286693573,2.891553401947022,1.025650739669800,1.134557279944420,!YEAR,17,1.310776118291359,-0.1762188383469394,2005
HUDSON_BAY,!Y_2006,10,0.3516339063644409,1.921943902969360,1.003019034862518,0.9854597091674805,!YEAR,17,1.310776118291359,-0.3253164091238788,2006
HUDSON_BAY,!Y_2007,10,0.3226610124111176,4.053312778472900,1.076311230659485,1.247548639774323,!YEAR,17,1.310776118291359,-0.06322747851703681,2007
HUDSON_BAY,!Y_2008,10,0.3407324552536011,4.702169418334961,1.023463547229767,1.359676364064217,!YEAR,17,1.310776118291359,0.04890024577285734,2008
HUDSON_BAY,!Y_2009,10,0.3456138670444489,4.590798377990723,1.201446592807770,1.349014398455620,!YEAR,17,1.310776118291359,0.03823828016426045,2009
HUDSON_BAY,!Y_2010,10,0.5661707520484924,3.403300285339356,1.029745459556580,1.190184426307678,!YEAR,17,1.310776118291359,-0.1205916919836811,2010
HUDSON_BAY,!Y_2011,10,0.3778185844421387,2.794560670852661,1.036403119564056,1.124177327752113,!YEAR,17,1.310776118291359,-0.1865987905392459,2011
HUDSON_BAY,!Y_2012,10,0.3843665719032288,5.320985317230225,1.155118942260742,1.407070720195770,!YEAR,17,1.310776118291359,0.09629460190441086,2012
HUDSON_BAY,!Y_2013,4,0.2831312417984009,1.238939285278320,0.5323410183191299,0.6466881409287453,!YEAR,17,1.310776118291359,-0.6640879773626141,2013
