LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
SULU_CELEBES_SEA,!Y_1996,2,0.1991837471723557,0.2767770588397980,0.2379804030060768,0.2379804030060768,!YEAR,17,0.3336859134774582,,1996
SULU_CELEBES_SEA,!Y_1997,10,0.1728509366512299,0.2809275686740875,0.2272466644644737,0.2254948809742928,!YEAR,17,0.3336859134774582,-0.1081910325031655,1997
SULU_CELEBES_SEA,!Y_1998,12,0.1847880184650421,0.2978579103946686,0.2352717742323875,0.2372486330568790,!YEAR,17,0.3336859134774582,-0.09643728042057920,1998
SULU_CELEBES_SEA,!Y_1999,12,0.2023411840200424,0.3264967501163483,0.2599841207265854,0.2621461811165015,!YEAR,17,0.3336859134774582,-0.07153973236095673,1999
SULU_CELEBES_SEA,!Y_2000,12,0.2095322757959366,0.3300061821937561,0.2600680440664291,0.2670106217265129,!YEAR,17,0.3336859134774582,-0.06667529175094533,2000
SULU_CELEBES_SEA,!Y_2001,12,0.2269012182950974,0.3649298250675201,0.2605537325143814,0.2826998208959897,!YEAR,17,0.3336859134774582,-0.05098609258146852,2001
SULU_CELEBES_SEA,!Y_2002,12,0.2513348162174225,0.4258614480495453,0.3638662993907929,0.3550584837794304,!YEAR,17,0.3336859134774582,0.02137257030197215,2002
SULU_CELEBES_SEA,!Y_2003,12,0.3423673510551453,0.4920200407505035,0.4129051268100739,0.4176416198412578,!YEAR,17,0.3336859134774582,0.08395570636379951,2003
SULU_CELEBES_SEA,!Y_2004,12,0.3599449992179871,0.4783774912357330,0.4041549861431122,0.4060333967208862,!YEAR,17,0.3336859134774582,0.07234748324342799,2004
SULU_CELEBES_SEA,!Y_2005,12,0.3519893884658814,0.4876837134361267,0.3883668780326843,0.3980844542384148,!YEAR,17,0.3336859134774582,0.06439854076095652,2005
SULU_CELEBES_SEA,!Y_2006,12,0.3437084257602692,0.4817394912242889,0.3735661208629608,0.3839176048835118,!YEAR,17,0.3336859134774582,0.05023169140605360,2006
SULU_CELEBES_SEA,!Y_2007,12,0.3220225274562836,0.5021201372146606,0.3738028407096863,0.3813717663288117,!YEAR,17,0.3336859134774582,0.04768585285135341,2007
SULU_CELEBES_SEA,!Y_2008,12,0.3391178846359253,0.4536469876766205,0.3789704442024231,0.3839446033040683,!YEAR,17,0.3336859134774582,0.05025868982661003,2008
SULU_CELEBES_SEA,!Y_2009,12,0.3110599219799042,0.4607223570346832,0.3768081963062286,0.3802478263775508,!YEAR,17,0.3336859134774582,0.04656191290009254,2009
SULU_CELEBES_SEA,!Y_2010,12,0.3396388292312622,0.5059936642646790,0.3828941583633423,0.3920091887315114,!YEAR,17,0.3336859134774582,0.05832327525405318,2010
SULU_CELEBES_SEA,!Y_2011,12,0.3307521939277649,0.4433906972408295,0.3830642700195313,0.3863664617141088,!YEAR,17,0.3336859134774582,0.05268054823665053,2011
SULU_CELEBES_SEA,!Y_2012,12,0.2207712829113007,0.4620972275733948,0.2521154880523682,0.2760271827379863,!YEAR,17,0.3336859134774582,-0.05765873073947198,2012
SULU_CELEBES_SEA,!Y_2013,6,0.2024164646863937,0.2933925390243530,0.2212119325995445,0.2373578026890755,!YEAR,17,0.3336859134774582,-0.09632811078838277,2013
