LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
BAY_OF_BENGAL,!Y_1996,2,0.4898892641067505,0.5034842491149902,0.4966867566108704,0.4966867566108704,!YEAR,17,2.057170753210198,,1996
BAY_OF_BENGAL,!Y_1997,10,0.3251307606697083,2.028261899948120,0.6453868448734283,0.7719559788703918,!YEAR,17,2.057170753210198,-1.285214774339807,1997
BAY_OF_BENGAL,!Y_1998,12,0.7808807492256165,1.759204983711243,1.020544856786728,1.177376036842664,!YEAR,17,2.057170753210198,-0.8797947163675344,1998
BAY_OF_BENGAL,!Y_1999,12,0.7642938494682312,1.843219757080078,1.096724271774292,1.152931253115336,!YEAR,17,2.057170753210198,-0.9042395000948622,1999
BAY_OF_BENGAL,!Y_2000,12,0.8276811242103577,2.361299037933350,1.546621918678284,1.559650679429372,!YEAR,17,2.057170753210198,-0.4975200737808263,2000
BAY_OF_BENGAL,!Y_2001,12,0.9491111040115356,2.977223157882690,1.583123028278351,1.711452354987462,!YEAR,17,2.057170753210198,-0.3457183982227361,2001
BAY_OF_BENGAL,!Y_2002,12,0.9660772085189819,4.272098064422607,2.274864494800568,2.347231467564901,!YEAR,17,2.057170753210198,0.2900607143547025,2002
BAY_OF_BENGAL,!Y_2003,12,1.507912397384644,3.733443737030029,2.394503533840179,2.488217522700628,!YEAR,17,2.057170753210198,0.4310467694904294,2003
BAY_OF_BENGAL,!Y_2004,12,1.566981554031372,3.742829799652100,2.421853423118591,2.520295272270838,!YEAR,17,2.057170753210198,0.4631245190606399,2004
BAY_OF_BENGAL,!Y_2005,12,1.511758685112000,3.901276588439941,2.637544512748718,2.595320850610733,!YEAR,17,2.057170753210198,0.5381500974005347,2005
BAY_OF_BENGAL,!Y_2006,12,1.505623340606690,4.127614974975586,2.567417144775391,2.607872148354848,!YEAR,17,2.057170753210198,0.5507013951446500,2006
BAY_OF_BENGAL,!Y_2007,12,1.558527350425720,3.594418287277222,2.569397687911987,2.532460570335388,!YEAR,17,2.057170753210198,0.4752898171251898,2007
BAY_OF_BENGAL,!Y_2008,12,1.494532346725464,4.206279754638672,2.567693471908569,2.599536428848902,!YEAR,17,2.057170753210198,0.5423656756387039,2008
BAY_OF_BENGAL,!Y_2009,12,1.539347887039185,3.822136163711548,2.414037585258484,2.513649672269821,!YEAR,17,2.057170753210198,0.4564789190596228,2009
BAY_OF_BENGAL,!Y_2010,12,1.514986753463745,3.607984542846680,2.650030851364136,2.492827266454697,!YEAR,17,2.057170753210198,0.4356565132444983,2010
BAY_OF_BENGAL,!Y_2011,12,1.397815823554993,4.011583328247070,2.389000773429871,2.517192204793294,!YEAR,17,2.057170753210198,0.4600214515830960,2011
BAY_OF_BENGAL,!Y_2012,12,1.014198780059815,2.692301511764526,1.769425034523010,1.913868834575017,!YEAR,17,2.057170753210198,-0.1433019186351812,2012
BAY_OF_BENGAL,!Y_2013,6,1.005231857299805,2.590061426162720,1.113069713115692,1.470064262549083,!YEAR,17,2.057170753210198,-0.5871064906611159,2013
