LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
SOUTHWEST_AUSTRALIAN_SHELF,!Y_1996,2,0.1512020528316498,0.1699871122837067,0.1605945825576782,0.1605945825576782,!YEAR,17,0.2461198577986044,,1996
SOUTHWEST_AUSTRALIAN_SHELF,!Y_1997,10,0.1711765825748444,0.2962213456630707,0.2137034758925438,0.2224120512604713,!YEAR,17,0.2461198577986044,-0.02370780653813304,1997
SOUTHWEST_AUSTRALIAN_SHELF,!Y_1998,12,0.1492070704698563,0.3295811116695404,0.2295751795172691,0.2313362993299961,!YEAR,17,0.2461198577986044,-0.01478355846860827,1998
SOUTHWEST_AUSTRALIAN_SHELF,!Y_1999,12,0.1607546210289002,0.3053803145885468,0.2287064269185066,0.2308762309451898,!YEAR,17,0.2461198577986044,-0.01524362685341457,1999
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2000,12,0.1640630811452866,0.2985781431198120,0.2478669285774231,0.2366153510908286,!YEAR,17,0.2461198577986044,-0.009504506707775806,2000
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2001,12,0.1799622476100922,0.3000365197658539,0.2505407258868218,0.2448661724726359,!YEAR,17,0.2461198577986044,-0.001253685325968479,2001
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2002,12,0.1809138655662537,0.2895036339759827,0.2435048222541809,0.2422444274028142,!YEAR,17,0.2461198577986044,-0.003875430395790136,2002
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2003,12,0.2197349667549133,0.3052488863468170,0.2877223491668701,0.2773771236340205,!YEAR,17,0.2461198577986044,0.03125726583541613,2003
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2004,12,0.2027603685855866,0.2919994294643402,0.2501255199313164,0.2500651925802231,!YEAR,17,0.2461198577986044,0.003945334781618709,2004
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2005,12,0.1997618824243546,0.2876261472702026,0.2551066279411316,0.2480776446561019,!YEAR,17,0.2461198577986044,0.001957786857497479,2005
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2006,12,0.2072491943836212,0.3339952528476715,0.2734071165323257,0.2687167140344779,!YEAR,17,0.2461198577986044,0.02259685623587351,2006
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2007,12,0.2069878429174423,0.3052455186843872,0.2564810663461685,0.2566053482393424,!YEAR,17,0.2461198577986044,0.01048549044073802,2007
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2008,12,0.1811807751655579,0.3086965680122376,0.2647323608398438,0.2529802309970061,!YEAR,17,0.2461198577986044,0.006860373198401742,2008
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2009,12,0.1979231685400009,0.3078248500823975,0.2685479074716568,0.2589120219151179,!YEAR,17,0.2461198577986044,0.01279216411651354,2009
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2010,12,0.1844927966594696,0.3186069726943970,0.2657562494277954,0.2575930791596572,!YEAR,17,0.2461198577986044,0.01147322136105280,2010
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2011,12,0.1746419370174408,0.3009459376335144,0.2509225979447365,0.2418348714709282,!YEAR,17,0.2461198577986044,-0.004284986327676182,2011
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2012,12,0.1488030403852463,0.3033420443534851,0.2359884008765221,0.2326575070619583,!YEAR,17,0.2461198577986044,-0.01346235073664606,2012
SOUTHWEST_AUSTRALIAN_SHELF,!Y_2013,6,0.1424813866615295,0.3076404631137848,0.2314654663205147,0.2308673163255056,!YEAR,17,0.2461198577986044,-0.01525254147309879,2013
