LME,PERIOD,N,MIN,MAX,MED,MEAN,PERIOD_ANOM,PERIOD_N,PERIOD_MEAN,ANOM,YEAR
HUMBOLDT_CURRENT,!Y_1996,2,0.3939256072044373,0.4547675848007202,0.4243465960025787,0.4243465960025787,!YEAR,17,0.6895450564283950,,1996
HUMBOLDT_CURRENT,!Y_1997,10,0.3027752935886383,0.7054350972175598,0.4650242924690247,0.4780274957418442,!YEAR,17,0.6895450564283950,-0.2115175606865509,1997
HUMBOLDT_CURRENT,!Y_1998,12,0.4137010872364044,0.8480883240699768,0.6066141724586487,0.6074901943405470,!YEAR,17,0.6895450564283950,-0.08205486208784807,1998
HUMBOLDT_CURRENT,!Y_1999,12,0.4421958327293396,0.9512827992439270,0.8019611835479736,0.7492658570408821,!YEAR,17,0.6895450564283950,0.05972080061248708,1999
HUMBOLDT_CURRENT,!Y_2000,12,0.5765219926834106,0.8852789402008057,0.6789739429950714,0.6970410098632177,!YEAR,17,0.6895450564283950,0.007495953434822678,2000
HUMBOLDT_CURRENT,!Y_2001,12,0.4758432507514954,0.8517050147056580,0.6767658293247223,0.6642927924791972,!YEAR,17,0.6895450564283950,-0.02525226394919788,2001
HUMBOLDT_CURRENT,!Y_2002,12,0.5092887878417969,0.9171785712242127,0.6488293111324310,0.6901173343261083,!YEAR,17,0.6895450564283950,0.0005722778977133025,2002
HUMBOLDT_CURRENT,!Y_2003,12,0.5550397634506226,1.033259987831116,0.8113853037357330,0.7691961030165354,!YEAR,17,0.6895450564283950,0.07965104658814037,2003
HUMBOLDT_CURRENT,!Y_2004,12,0.5156882405281067,0.9994858503341675,0.8152405023574829,0.7781669994195303,!YEAR,17,0.6895450564283950,0.08862194299113524,2004
HUMBOLDT_CURRENT,!Y_2005,12,0.5607249736785889,1.125638723373413,0.8233532309532166,0.7877015372117361,!YEAR,17,0.6895450564283950,0.09815648078334105,2005
HUMBOLDT_CURRENT,!Y_2006,12,0.5259220004081726,0.9679036140441895,0.6963972449302673,0.7302397588888804,!YEAR,17,0.6895450564283950,0.04069470246048534,2006
HUMBOLDT_CURRENT,!Y_2007,12,0.4968941807746887,0.8055846095085144,0.6961266994476318,0.6835617174704870,!YEAR,17,0.6895450564283950,-0.005983338957908035,2007
HUMBOLDT_CURRENT,!Y_2008,12,0.4626552760601044,1.127838611602783,0.7063246965408325,0.7064525857567787,!YEAR,17,0.6895450564283950,0.01690752932838369,2008
HUMBOLDT_CURRENT,!Y_2009,12,0.5106294751167297,0.9106219410896301,0.6837547421455383,0.6717072526613871,!YEAR,17,0.6895450564283950,-0.01783780376700794,2009
HUMBOLDT_CURRENT,!Y_2010,12,0.5142468810081482,0.7977191209793091,0.6840452849864960,0.6750952253739039,!YEAR,17,0.6895450564283950,-0.01444983105449116,2010
HUMBOLDT_CURRENT,!Y_2011,12,0.5086977481842041,0.8458313345909119,0.7100797295570374,0.6946523636579514,!YEAR,17,0.6895450564283950,0.005107307229556324,2011
HUMBOLDT_CURRENT,!Y_2012,12,0.5778785347938538,0.7388532757759094,0.6188114881515503,0.6282715052366257,!YEAR,17,0.6895450564283950,-0.06127355119176936,2012
HUMBOLDT_CURRENT,!Y_2013,6,0.6136275529861450,0.8331569433212280,0.6693773567676544,0.7109862267971039,!YEAR,17,0.6895450564283950,0.02144117036870885,2013
