Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,7,26,0
1951,0,0,11,21,0
1952,1,1,13,17,0
1953,1,1,15,17,0
1954,1,1,15,16,0
1955,0,3,9,20,0
1956,1,4,11,17,0
1957,1,5,11,16,0
1958,2,2,16,17,0
1959,2,3,12,18,0
1960,3,1,16,19,0
1961,1,6,11,21,0
1962,0,5,12,21,1
1963,0,4,14,17,1
1964,1,6,11,19,1
1965,2,4,15,19,1
1966,3,10,6,22,1
1967,3,13,6,19,1
1968,5,10,6,20,1
1969,5,10,7,19,1
1970,4,9,10,20,1
1971,3,9,8,23,1
1972,5,11,5,24,1
1973,5,11,5,23,1
1974,5,12,4,22,1
1975,7,12,4,21,1
1976,8,9,6,19,1
1977,9,9,6,16,1
1978,11,9,6,18,0
1979,9,9,6,18,1
1980,9,9,8,15,1
1981,11,5,9,14,1
1982,11,5,8,16,1
1983,12,6,10,15,1
1984,9,10,9,11,2
1985,12,9,7,14,2
1986,10,9,8,14,3
1987,7,9,11,12,4
1988,9,9,10,13,3
1989,9,8,12,11,3
1990,9,8,11,11,3
1991,8,9,9,13,4
1992,7,8,14,9,5
1993,7,11,11,10,3
1994,8,16,7,9,3
1995,9,14,10,7,5
1996,9,13,10,8,5
1997,11,11,11,10,4
1998,12,13,10,7,4
1999,11,15,10,8,5
2000,14,16,9,5,5
2001,16,13,9,5,5
2002,16,12,9,4,4
2003,12,13,9,3,6
2004,13,14,9,3,6
2005,11,14,8,3,6
2006,14,14,7,3,5
2007,14,11,7,3,6
2008,14,10,9,3,4
2009,14,10,9,2,4
2010,13,10,9,2,4
