Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,0,0,0
1951,0,0,0,0,0
1952,0,0,0,0,0
1953,0,0,0,0,0
1954,0,0,0,0,0
1955,0,0,0,0,0
1956,0,0,0,0,0
1957,0,0,0,0,0
1958,0,0,0,0,0
1959,0,0,0,0,0
1960,0,0,0,0,0
1961,0,0,0,0,0
1962,0,0,0,0,0
1963,0,0,0,0,0
1964,0,0,0,0,0
1965,0,0,0,157,0
1966,0,0,0,1997.66666666667,0
1967,0,0,0,2768.33333333333,0
1968,0,0,12713.6666666667,2611.33333333333,0
1969,0,0,12713.6666666667,770.666666666667,0
1970,0,4751.66666666667,12713.6666666667,885,0
1971,0,4751.66666666667,9717.33333333333,885,0
1972,0,6272,9717.33333333333,970.666666666667,0
1973,0,3081.33333333333,9717.33333333333,1027,0
1974,765.333333333333,3081.33333333333,0,1894.33333333333,0
1975,1218,1561,0,2367,0
1976,1311,0,0,2536.33333333333,0
1977,545.666666666667,6121.66666666667,4409.33333333333,5575.66666666667,0
1978,1061.33333333333,6121.66666666667,16756,8347.33333333333,0
1979,1609,13570,18807,12417,0
1980,2349.33333333333,10572.6666666667,14784.3333333333,17320,0
1981,1416.66666666667,12978.3333333333,10338.6666666667,20716,0
1982,1005.66666666667,9998,8287.66666666667,17283.6666666667,0
1983,1375.66666666667,6873.66666666667,9622.33333333333,10485.6666666667,0
1984,1894,5150.66666666667,8011.33333333333,5032.66666666667,0
1985,2462.33333333333,1958,8011.33333333333,6526.33333333333,0
1986,1730,1958,6290,9716.66666666667,0
1987,1212.33333333333,1772,0,14271.6666666667,0
1988,517.333333333333,496.666666666667,0,18650.3333333333,191
1989,139.333333333333,1435.33333333333,0,17083,191
1990,103,938.666666666667,0,16277.3333333333,191
1991,0,938.666666666667,0,13886.3333333333,0
1992,0,0,0,12718,0
1993,0,0,0,10941,0
1994,0,0,0,8770.66666666667,0
1995,0,0,0,10623.6666666667,0
1996,0,0,0,10892.3333333333,0
1997,0,0,0,11800.6666666667,0
1998,0,0,0,10208.6666666667,0
1999,0,0,0,11935.6666666667,0
2000,4,0,0,11200,0
2001,4,0,0,9242.33333333333,0
2002,4,0,0,6535.66666666667,0
2003,0,0,0,4295.33333333333,0
2004,0,0,0,4034.33333333333,0
2005,11.3333333333333,0,0,7943.33333333333,0
2006,23.3333333333333,0,0,13216,0
2007,29.6666666666667,0,0,22082,0
2008,23,0,0,23174.6666666667,0
2009,15.6666666666667,0,0,29606.6666666667,0
2010,14,0,0,38088,0
