Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,95,107,0
1951,0,0,96,107,0
1952,0,0,98,107,0
1953,0,0,102,107,0
1954,0,0,106.333333333333,107,0
1955,0,0,111.666666666667,107,0
1956,0,0,116.333333333333,107,0
1957,0,0,121.333333333333,106,0
1958,0,0,126,104.333333333333,0
1959,0,0,131.333333333333,102,0
1960,0,0,134.333333333333,103,0
1961,0,0,135.666666666667,113.666666666667,0
1962,0,0,135,108.666666666667,0
1963,0,0,134.333333333333,104.666666666667,0
1964,0,0,133.333333333333,87.6666666666667,0
1965,0,0,131.333333333333,87,0
1966,0,0,128.666666666667,81.6666666666667,0
1967,0,0,125.333333333333,75.6666666666667,0
1968,0,0,121.333333333333,69.6666666666667,0
1969,0,0,117,84.6666666666667,0
1970,0,0,112.333333333333,98.6666666666667,0
1971,0,0,107.666666666667,118,0
1972,0,10,150.333333333333,90.6666666666667,0
1973,0,18.3333333333333,221.666666666667,68.6666666666667,0
1974,0,29.6666666666667,285.333333333333,42,0
1975,0,32,222,69,0
1976,0,35.3333333333333,131.666666666667,103.666666666667,0
1977,0,35.6666666666667,50.3333333333333,124.333333333333,0
1978,0,34.6666666666667,50.3333333333333,121,0
1979,0,34.3333333333333,104.333333333333,87.3333333333333,0
1980,0,34.3333333333333,207.333333333333,67,0
1981,0,34.6666666666667,276.666666666667,45,0
1982,0,66.3333333333333,222.333333333333,46,0
1983,0,113.333333333333,119.333333333333,47,0
1984,0,113.666666666667,126,47,0
1985,0,125,126,46,0
1986,0,98.6666666666667,149.333333333333,30.3333333333333,0
1987,0,93.6666666666667,159.666666666667,14.6666666666667,0
1988,0,87.6666666666667,190.333333333333,0,0
1989,0,93,192,0,0
1990,0,130.666666666667,145.333333333333,0,0
1991,0,134,146.333333333333,0,0
1992,0,119.333333333333,152.666666666667,0,0
1993,0,111.333333333333,139,0,0
1994,0,117.333333333333,133.666666666667,0,0
1995,0,125,129,0,0
1996,0,122.666666666667,130,0,0
1997,0,82.6666666666667,131.333333333333,0,0
1998,0,86.3333333333333,132.666666666667,0,0
1999,0,87.6666666666667,134,0,0
2000,0,110,134.666666666667,0,0
2001,7.33333333333333,81.3333333333333,135.333333333333,0,0
2002,16.6666666666667,51.3333333333333,135.666666666667,0,0
2003,16.6666666666667,17,136.333333333333,0,12.6666666666667
2004,9.33333333333333,17,137,0,28.6666666666667
2005,0,17,137.666666666667,0,53
2006,0,11.3333333333333,92,0,40.3333333333333
2007,0,5.66666666666667,46,0,24.3333333333333
2008,0,0,0,0,0
2009,0,0,0,0,0
2010,0,0,0,0,0
