Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,487443,511945,0
1951,0,0,506978.666666667,462236.666666667,0
1952,8.66666666666667,10996.6666666667,565593,402793.333333333,0
1953,17.3333333333333,20028.6666666667,665879.666666667,309959,0
1954,17.3333333333333,27360.6666666667,698028.666666667,284198.666666667,0
1955,8.66666666666667,23718.3333333333,715815.333333333,261545.333333333,0
1956,4,23905.3333333333,700163.666666667,270556.333333333,0
1957,5.66666666666667,27894.6666666667,659235.333333333,270501.333333333,0
1958,5.66666666666667,34570,631143,276232,0
1959,3.33333333333333,31136.3333333333,589322,279201.333333333,0
1960,2,25765.3333333333,594577.333333333,298000.333333333,0
1961,4,50350,567468.333333333,339580.333333333,0
1962,3.66666666666667,149172.666666667,460329.666666667,444381.666666667,0
1963,4,235519.666666667,408319.666666667,510035.333333333,0
1964,9,290541.333333333,481075.333333333,493777,0
1965,12.6666666666667,259072.666666667,643700.666666667,470841,0
1966,22.6666666666667,268123,714218.666666667,383081.666666667,0
1967,2994.33333333333,310206.666666667,669410,369232,0
1968,3842.33333333333,368228.666666667,666786,287987,0
1969,4747,362320.333333333,772907.666666667,242180.666666667,0
1970,2052.66666666667,356899.333333333,909985.666666667,198484.666666667,0
1971,6840.33333333333,280581,1119794.33333333,162870.333333333,0
1972,10366.3333333333,253251,1271925,165354.333333333,0
1973,13876,332738.333333333,1199112,151832.333333333,0
1974,8460.66666666667,470981,1008559,150115,0
1975,9323.66666666667,522828,841835.333333333,137858.333333333,0
1976,9453,431165,817524.666666667,112198.666666667,0
1977,15297.6666666667,388527.333333333,755292.666666667,99456,0
1978,23689,333684.333333333,760227.666666667,95233.3333333333,5
1979,32626.3333333333,291581.666666667,827339.666666667,88356.3333333333,28.3333333333333
1980,43057,219345.333333333,946495.333333333,57105.3333333333,54.6666666666667
1981,45277,199414,923388.666666667,88047,85
1982,46148,167416,905140,117758.666666667,138
1983,47085.3333333333,236708,756633.666666667,144977,212.333333333333
1984,49858.3333333333,269291.666666667,709626.666666667,131404.333333333,254
1985,56340.3333333333,359354.333333333,557134,134588.333333333,228
1986,65933.6666666667,337093.666666667,587216.333333333,107478.333333333,177.333333333333
1987,62376.3333333333,393594.333333333,552967,80975.3333333333,13620
1988,55906,391596.333333333,622517.333333333,51417.3333333333,28399
1989,53687,402462.666666667,652395.333333333,55641.3333333333,28400
1990,58130.3333333333,343052.333333333,752195.333333333,54897.6666666667,15079.3333333333
1991,61009.6666666667,360789.666666667,771693.666666667,47417.3333333333,1791
1992,52768,322341,772992.333333333,80941.3333333333,1794.33333333333
1993,44615.3333333333,374750,550930.666666667,116566,1791
1994,41364.6666666667,282482.666666667,491240,148646,762
1995,37549.3333333333,246578.333333333,418830.666666667,140126.666666667,1784
1996,39205.3333333333,270679,390298.666666667,129692.333333333,2516.66666666667
1997,41259,386060,238663.666666667,127380.666666667,2394.66666666667
1998,43823.6666666667,479227.333333333,111334.333333333,136599.666666667,2376
1999,44399,460357,154633,111920.666666667,1531
2000,52394.6666666667,425503,255611,86896.3333333333,1790.33333333333
2001,59840,357451,417554,50255.6666666667,2268.33333333333
2002,69694.3333333333,351999.333333333,443565.666666667,46084.6666666667,4111.66666666667
2003,72382,312531.666666667,500123.333333333,47514,7524.66666666667
2004,66816.3333333333,352142.666666667,397908,38598.6666666667,13587.3333333333
2005,69270.3333333333,305707.666666667,444482,44111.6666666667,18711
2006,66838.6666666667,345380.666666667,347015.333333333,42290,19457.6666666667
2007,65608.3333333333,337194.666666667,352425.666666667,53104.3333333333,22124
2008,55288.6666666667,373138.666666667,272094.333333333,54956.3333333333,27128.3333333333
2009,46493.3333333333,357161.333333333,281622.666666667,62113.3333333333,35515
2010,44646,366936,285819,70097,39587
