Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,3,26,0
1951,0,0,9,19,0
1952,0,1,5,22,0
1953,0,0,14,16,0
1954,1,0,11,18,0
1955,2,2,6,20,0
1956,0,2,9,17,0
1957,1,4,7,14,0
1958,0,1,15,10,0
1959,2,5,6,13,0
1960,0,2,13,15,0
1961,4,3,4,17,0
1962,4,6,6,14,0
1963,3,8,4,15,0
1964,3,8,3,17,0
1965,4,7,4,15,0
1966,5,7,3,15,0
1967,4,8,4,13,0
1968,4,8,5,15,0
1969,5,6,6,13,0
1970,7,8,2,14,0
1971,6,8,4,16,0
1972,7,8,4,14,0
1973,3,7,10,14,0
1974,4,7,9,14,0
1975,5,6,7,14,0
1976,6,7,8,15,0
1977,6,8,5,15,0
1978,9,7,2,18,0
1979,10,7,2,18,0
1980,9,8,3,18,0
1981,10,10,1,16,0
1982,6,9,2,17,0
1983,8,7,5,15,0
1984,7,6,9,12,0
1985,9,8,6,14,0
1986,9,7,9,12,0
1987,8,9,6,12,0
1988,8,7,7,12,0
1989,5,9,5,14,1
1990,11,9,6,13,0
1991,12,6,7,12,0
1992,11,6,9,10,2
1993,13,7,7,11,1
1994,14,7,7,11,1
1995,14,8,7,11,1
1996,15,12,5,8,1
1997,13,12,4,9,2
1998,14,13,3,10,2
1999,11,9,8,10,5
2000,23,5,3,6,3
2001,12,4,10,4,10
2002,13,6,7,4,10
2003,13,6,10,1,10
2004,12,5,8,2,12
2005,12,6,8,3,12
2006,12,7,8,2,11
2007,10,6,7,2,13
2008,10,5,8,2,13
2009,11,7,6,2,12
2010,13,4,7,2,12
