Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,7,11,0
1951,0,0,7,12,0
1952,0,0,7,12,0
1953,0,0,8,11,0
1954,0,0,12,8,0
1955,0,1,11,8,0
1956,0,1,10,8,0
1957,0,2,10,7,0
1958,0,2,10,7,0
1959,0,3,10,6,0
1960,0,4,11,5,0
1961,0,4,11,5,0
1962,0,3,12,5,0
1963,5,3,0,2,0
1964,5,4,0,2,0
1965,8,2,1,3,0
1966,7,2,1,2,0
1967,8,2,0,3,0
1968,7,2,0,4,0
1969,7,2,0,4,0
1970,6,3,0,3,0
1971,4,3,1,2,0
1972,5,3,1,1,0
1973,7,5,0,2,0
1974,5,4,0,2,1
1975,3,5,0,2,1
1976,5,5,1,2,0
1977,6,3,0,3,0
1978,4,4,0,3,1
1979,4,2,1,2,1
1980,5,3,0,3,0
1981,5,2,1,4,0
1982,5,2,1,3,0
1983,6,2,0,2,0
1984,6,2,0,3,0
1985,6,2,0,3,0
1986,5,2,0,2,0
1987,6,1,0,2,0
1988,5,2,0,2,0
1989,7,1,1,1,0
1990,7,1,2,0,0
1991,7,2,2,0,0
1992,7,2,2,2,0
1993,5,3,1,1,0
1994,10,1,3,4,0
1995,10,3,2,3,0
1996,10,3,3,4,0
1997,10,5,2,3,0
1998,10,4,3,3,0
1999,10,3,6,1,0
2000,11,3,3,2,0
2001,10,2,5,1,1
2002,11,3,4,1,1
2003,12,2,4,1,1
2004,11,3,6,0,0
2005,12,1,5,0,1
2006,14,1,6,0,0
2007,13,3,3,0,1
2008,15,1,3,0,1
2009,15,1,3,0,1
2010,14,1,3,0,1
