Year,Collapsed,Overexploited,Exploited,Developing,Rebuilding
1950,0,0,172249,94796,0
1951,0,0,156354.666666667,100522.666666667,0
1952,0,726.666666666667,149002.333333333,101752,0
1953,0,1269.33333333333,171773.333333333,100932,0
1954,0,1778,190631,89943.3333333333,0
1955,0,1543.66666666667,217892.333333333,82943.6666666667,0
1956,0,1495.66666666667,216604,86266,0
1957,0,1338.66666666667,199271.666666667,105752.666666667,0
1958,0,1230.66666666667,183276.333333333,127993.333333333,0
1959,0,1086.33333333333,183539.333333333,143040,0
1960,0,1047.66666666667,206298.666666667,144818.333333333,0
1961,0,937.666666666667,232061.666666667,151412,0
1962,0,916.333333333333,251499.333333333,195483,0
1963,0,961,264326,229803.333333333,0
1964,14.6666666666667,1057.33333333333,281776.666666667,258219.666666667,0
1965,22.3333333333333,1932,314453.333333333,219594.666666667,0
1966,249.333333333333,9289.66666666667,315738,200220,0
1967,446.666666666667,17315.3333333333,401366.666666667,141935,0
1968,449,26226.6666666667,489483.666666667,126753.666666667,0
1969,630.333333333333,25522.6666666667,675134.666666667,90805,0
1970,509,25310.6666666667,700106,122023,0
1971,521.333333333333,69337,604728,141146.333333333,0
1972,556.333333333333,112978,557406,130466,0
1973,774.333333333333,178003,459244.333333333,89513,0
1974,888,206696.666666667,453487,48348.3333333333,0
1975,1133,248904.333333333,289803.666666667,57990,0
1976,1539.33333333333,279620.333333333,187672.666666667,64650,0
1977,2418,272567,149817.666666667,68516,0
1978,2131,244445.666666667,174273.333333333,66332.3333333333,0
1979,2440.33333333333,210632,252438.666666667,65713.3333333333,0
1980,1976.33333333333,193269.333333333,282808.666666667,69312,0
1981,2216,196155,288780,66933.3333333333,0
1982,1835.33333333333,182506,290828.666666667,62027.6666666667,0
1983,1734.66666666667,193106.666666667,284768.333333333,53988.3333333333,0
1984,1950.66666666667,203997,281893.333333333,55349,0
1985,2336.66666666667,235216.666666667,283883.333333333,59960,0
1986,2626,254907,272379.666666667,68148.6666666667,0
1987,2661.66666666667,274445,249880.666666667,73254.3333333333,49
1988,2857.66666666667,284677.333333333,230943,77108.3333333333,79.3333333333333
1989,3139,299555.333333333,219034.333333333,76231,112.666666666667
1990,3188.66666666667,332026.666666667,175151.666666667,70606,127.666666666667
1991,10818.6666666667,340854.666666667,118229.333333333,71961.3333333333,243.666666666667
1992,18946.6666666667,309854,65555.3333333333,73366.6666666667,623.666666666667
1993,24317,238968.333333333,62763.6666666667,73500.3333333333,1912
1994,27499.6666666667,183297,64464,69831,2899.66666666667
1995,32278.3333333333,158629.333333333,73468.3333333333,64820.6666666667,3187
1996,38843.6666666667,148821.333333333,73845.3333333333,62770.6666666667,2046.66666666667
1997,40364.6666666667,148119,72543.6666666667,66207.6666666667,1210.66666666667
1998,40882.3333333333,153024.666666667,77339,62765,843.333333333333
1999,41146,148863.333333333,92150.6666666667,61728.3333333333,961.333333333333
2000,43329.3333333333,142136.666666667,115056.333333333,48079.6666666667,1076.66666666667
2001,44318,132379.666666667,135823,41299.6666666667,1173.33333333333
2002,41087,128381,143632.333333333,37959.3333333333,1329.66666666667
2003,36128,123776.333333333,160442.666666667,37640.6666666667,1550
2004,32053,121536.666666667,162162.333333333,37732.3333333333,1665.66666666667
2005,33858.6666666667,120189,163434.333333333,35056.6666666667,1734
2006,35459.3333333333,125384.666666667,143327.666666667,32767.6666666667,1417.33333333333
2007,37224,123666.333333333,132231,31743.6666666667,1155.66666666667
2008,37530.3333333333,127362,124766.333333333,32232,702.666666666667
2009,36696.6666666667,120210.333333333,123135.666666667,36434.3333333333,669
2010,34652,111245,118717,41185,850
